,Address,Price,Size,Max_occupancy
2509,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,882",92
2510,200 Park Avenue South - 58th Floor,To ask,"13,764",91
2511,60 Madison Avenue - 8th Floor,To ask,"17,177",114
2512,475 Park Avenue South - 7th Floor,To ask,"16,947",112
2513,475 Park Avenue South - 16th Floor,To ask,"13,607",90
2514,1245 Broadway Street - 2nd Floor,To ask,"14,703",98
2515,635 Avenue of the Americas - 8th Floor,To ask,"13,090",87
2516,330 Hudson Street - 15th Floor,To ask,"17,175",114
2517,381 Park Avenue South - 9th Floor,To ask,"13,128",87
2518,233 Spring Street - 8th Floor,To ask,"13,000",86
2519,71 5th Avenue - 4th Floor,To ask,"15,211",101
2520,40 East 33rd Street - Building Suite,To ask,"14,073",93
2521,15 Little West 12 Street - 3rd Floor,To ask,"17,585",117
2522,15 Little West 12 Street - 2nd Floor,To ask,"16,965",113
2523,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,884",92
2524,355 Park Avenue South - 3rd Floor,To ask,"16,598",110
2525,841 Broadway - 7th Floor,To ask,"13,789",91
2526,381 Park Avenue South - 16th Floor - B Suite,To ask,"13,067",87
2527,233 Park Avenue South - 12th Floor,To ask,"13,343",88
2528,609 Greenwich Street - 9th Floor,To ask,"16,457",109
2529,218 West 18th Street - 3rd Floor,To ask,"13,420",89
2530,460 Park Avenue South - Office Space,To ask,"15,500",103
2531,135 Madison Avenue - 2nd Floor,To ask,"15,038",100
2532,620 Avenue of the Americas - 3rd Floor - Suite 1,To ask,"13,852",92
2533,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,882",92
2534,200 Park Avenue South - 58th Floor,To ask,"13,764",91
2535,60 Madison Avenue - 8th Floor,To ask,"17,177",114
2536,475 Park Avenue South - 7th Floor,To ask,"16,947",112
2537,475 Park Avenue South - 16th Floor,To ask,"13,607",90
2538,1245 Broadway Street - 2nd Floor,To ask,"14,703",98
2539,635 Avenue of the Americas - 8th Floor,To ask,"13,090",87
2540,330 Hudson Street - 15th Floor,To ask,"17,175",114
2541,381 Park Avenue South - 9th Floor,To ask,"13,128",87
2542,233 Spring Street - 8th Floor,To ask,"13,000",86
2543,71 5th Avenue - 4th Floor,To ask,"15,211",101
2544,40 East 33rd Street - Building Suite,To ask,"14,073",93
2545,15 Little West 12 Street - 3rd Floor,To ask,"17,585",117
2546,15 Little West 12 Street - 2nd Floor,To ask,"16,965",113
2547,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,884",92
2548,355 Park Avenue South - 3rd Floor,To ask,"16,598",110
2549,841 Broadway - 7th Floor,To ask,"13,789",91
2550,381 Park Avenue South - 16th Floor - B Suite,To ask,"13,067",87
2551,233 Park Avenue South - 12th Floor,To ask,"13,343",88
2552,609 Greenwich Street - 9th Floor,To ask,"16,457",109
2553,218 West 18th Street - 3rd Floor,To ask,"13,420",89
2554,460 Park Avenue South - Office Space,To ask,"15,500",103
2555,135 Madison Avenue - 2nd Floor,To ask,"15,038",100
2556,620 Avenue of the Americas - 3rd Floor - Suite 1,To ask,"13,852",92
2557,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,882",92
2558,200 Park Avenue South - 58th Floor,To ask,"13,764",91
2559,60 Madison Avenue - 8th Floor,To ask,"17,177",114
2560,475 Park Avenue South - 7th Floor,To ask,"16,947",112
2561,475 Park Avenue South - 16th Floor,To ask,"13,607",90
2562,1245 Broadway Street - 2nd Floor,To ask,"14,703",98
2563,635 Avenue of the Americas - 8th Floor,To ask,"13,090",87
2564,330 Hudson Street - 15th Floor,To ask,"17,175",114
2565,381 Park Avenue South - 9th Floor,To ask,"13,128",87
2566,233 Spring Street - 8th Floor,To ask,"13,000",86
2567,71 5th Avenue - 4th Floor,To ask,"15,211",101
2568,40 East 33rd Street - Building Suite,To ask,"14,073",93
2569,15 Little West 12 Street - 3rd Floor,To ask,"17,585",117
2570,15 Little West 12 Street - 2nd Floor,To ask,"16,965",113
2571,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,884",92
2572,355 Park Avenue South - 3rd Floor,To ask,"16,598",110
2573,841 Broadway - 7th Floor,To ask,"13,789",91
2574,381 Park Avenue South - 16th Floor - B Suite,To ask,"13,067",87
2575,233 Park Avenue South - 12th Floor,To ask,"13,343",88
2576,609 Greenwich Street - 9th Floor,To ask,"16,457",109
2577,218 West 18th Street - 3rd Floor,To ask,"13,420",89
2578,460 Park Avenue South - Office Space,To ask,"15,500",103
2579,135 Madison Avenue - 2nd Floor,To ask,"15,038",100
2580,620 Avenue of the Americas - 3rd Floor - Suite 1,To ask,"13,852",92
2581,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,882",92
2582,200 Park Avenue South - 58th Floor,To ask,"13,764",91
2583,60 Madison Avenue - 8th Floor,To ask,"17,177",114
2584,475 Park Avenue South - 7th Floor,To ask,"16,947",112
2585,475 Park Avenue South - 16th Floor,To ask,"13,607",90
2586,1245 Broadway Street - 2nd Floor,To ask,"14,703",98
2587,635 Avenue of the Americas - 8th Floor,To ask,"13,090",87
2588,330 Hudson Street - 15th Floor,To ask,"17,175",114
2589,381 Park Avenue South - 9th Floor,To ask,"13,128",87
2590,233 Spring Street - 8th Floor,To ask,"13,000",86
2591,71 5th Avenue - 4th Floor,To ask,"15,211",101
2592,40 East 33rd Street - Building Suite,To ask,"14,073",93
2593,15 Little West 12 Street - 3rd Floor,To ask,"17,585",117
2594,15 Little West 12 Street - 2nd Floor,To ask,"16,965",113
2595,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,884",92
2596,355 Park Avenue South - 3rd Floor,To ask,"16,598",110
2597,841 Broadway - 7th Floor,To ask,"13,789",91
2598,381 Park Avenue South - 16th Floor - B Suite,To ask,"13,067",87
2599,233 Park Avenue South - 12th Floor,To ask,"13,343",88
2600,609 Greenwich Street - 9th Floor,To ask,"16,457",109
2601,218 West 18th Street - 3rd Floor,To ask,"13,420",89
2602,460 Park Avenue South - Office Space,To ask,"15,500",103
2603,135 Madison Avenue - 2nd Floor,To ask,"15,038",100
2604,620 Avenue of the Americas - 3rd Floor - Suite 1,To ask,"13,852",92
2605,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,882",92
2606,200 Park Avenue South - 58th Floor,To ask,"13,764",91
2607,60 Madison Avenue - 8th Floor,To ask,"17,177",114
2608,475 Park Avenue South - 7th Floor,To ask,"16,947",112
2609,475 Park Avenue South - 16th Floor,To ask,"13,607",90
2610,1245 Broadway Street - 2nd Floor,To ask,"14,703",98
2611,635 Avenue of the Americas - 8th Floor,To ask,"13,090",87
2612,330 Hudson Street - 15th Floor,To ask,"17,175",114
2613,381 Park Avenue South - 9th Floor,To ask,"13,128",87
2614,233 Spring Street - 8th Floor,To ask,"13,000",86
2615,71 5th Avenue - 4th Floor,To ask,"15,211",101
2616,40 East 33rd Street - Building Suite,To ask,"14,073",93
2617,15 Little West 12 Street - 3rd Floor,To ask,"17,585",117
2618,15 Little West 12 Street - 2nd Floor,To ask,"16,965",113
2619,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,884",92
2620,355 Park Avenue South - 3rd Floor,To ask,"16,598",110
2621,841 Broadway - 7th Floor,To ask,"13,789",91
2622,381 Park Avenue South - 16th Floor - B Suite,To ask,"13,067",87
2623,233 Park Avenue South - 12th Floor,To ask,"13,343",88
2624,609 Greenwich Street - 9th Floor,To ask,"16,457",109
2625,218 West 18th Street - 3rd Floor,To ask,"13,420",89
2626,460 Park Avenue South - Office Space,To ask,"15,500",103
2627,135 Madison Avenue - 2nd Floor,To ask,"15,038",100
2628,620 Avenue of the Americas - 3rd Floor - Suite 1,To ask,"13,852",92
2629,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,882",92
2630,200 Park Avenue South - 58th Floor,To ask,"13,764",91
2631,60 Madison Avenue - 8th Floor,To ask,"17,177",114
2632,475 Park Avenue South - 7th Floor,To ask,"16,947",112
2633,475 Park Avenue South - 16th Floor,To ask,"13,607",90
2634,1245 Broadway Street - 2nd Floor,To ask,"14,703",98
2635,635 Avenue of the Americas - 8th Floor,To ask,"13,090",87
2636,330 Hudson Street - 15th Floor,To ask,"17,175",114
2637,381 Park Avenue South - 9th Floor,To ask,"13,128",87
2638,233 Spring Street - 8th Floor,To ask,"13,000",86
2639,71 5th Avenue - 4th Floor,To ask,"15,211",101
2640,40 East 33rd Street - Building Suite,To ask,"14,073",93
2641,15 Little West 12 Street - 3rd Floor,To ask,"17,585",117
2642,15 Little West 12 Street - 2nd Floor,To ask,"16,965",113
2643,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,884",92
2644,355 Park Avenue South - 3rd Floor,To ask,"16,598",110
2645,841 Broadway - 7th Floor,To ask,"13,789",91
2646,381 Park Avenue South - 16th Floor - B Suite,To ask,"13,067",87
2647,233 Park Avenue South - 12th Floor,To ask,"13,343",88
2648,609 Greenwich Street - 9th Floor,To ask,"16,457",109
2649,218 West 18th Street - 3rd Floor,To ask,"13,420",89
2650,460 Park Avenue South - Office Space,To ask,"15,500",103
2651,135 Madison Avenue - 2nd Floor,To ask,"15,038",100
2652,620 Avenue of the Americas - 3rd Floor - Suite 1,To ask,"13,852",92
2653,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,882",92
2654,200 Park Avenue South - 58th Floor,To ask,"13,764",91
2655,60 Madison Avenue - 8th Floor,To ask,"17,177",114
2656,475 Park Avenue South - 7th Floor,To ask,"16,947",112
2657,475 Park Avenue South - 16th Floor,To ask,"13,607",90
2658,1245 Broadway Street - 2nd Floor,To ask,"14,703",98
2659,635 Avenue of the Americas - 8th Floor,To ask,"13,090",87
2660,330 Hudson Street - 15th Floor,To ask,"17,175",114
2661,381 Park Avenue South - 9th Floor,To ask,"13,128",87
2662,233 Spring Street - 8th Floor,To ask,"13,000",86
2663,71 5th Avenue - 4th Floor,To ask,"15,211",101
2664,40 East 33rd Street - Building Suite,To ask,"14,073",93
2665,15 Little West 12 Street - 3rd Floor,To ask,"17,585",117
2666,15 Little West 12 Street - 2nd Floor,To ask,"16,965",113
2667,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,884",92
2668,355 Park Avenue South - 3rd Floor,To ask,"16,598",110
2669,841 Broadway - 7th Floor,To ask,"13,789",91
2670,381 Park Avenue South - 16th Floor - B Suite,To ask,"13,067",87
2671,233 Park Avenue South - 12th Floor,To ask,"13,343",88
2672,609 Greenwich Street - 9th Floor,To ask,"16,457",109
2673,218 West 18th Street - 3rd Floor,To ask,"13,420",89
