,Address,Price,Size,Max_occupancy
2844,620 Avenue of the Americas - 3rd Floor - Suite 1,To ask,"13,852",92
2845,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,882",92
2846,200 Park Avenue South - 58th Floor,To ask,"13,764",91
2847,60 Madison Avenue - 8th Floor,To ask,"17,177",114
2848,475 Park Avenue South - 7th Floor,To ask,"16,947",112
2849,475 Park Avenue South - 16th Floor,To ask,"13,607",90
2850,1245 Broadway Street - 2nd Floor,To ask,"14,703",98
2851,635 Avenue of the Americas - 8th Floor,To ask,"13,090",87
2852,330 Hudson Street - 15th Floor,To ask,"17,175",114
2853,381 Park Avenue South - 9th Floor,To ask,"13,128",87
2854,233 Spring Street - 8th Floor,To ask,"13,000",86
2855,71 5th Avenue - 4th Floor,To ask,"15,211",101
2856,40 East 33rd Street - Building Suite,To ask,"14,073",93
2857,15 Little West 12 Street - 3rd Floor,To ask,"17,585",117
2858,15 Little West 12 Street - 2nd Floor,To ask,"16,965",113
2859,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,884",92
2860,355 Park Avenue South - 3rd Floor,To ask,"16,598",110
2861,841 Broadway - 7th Floor,To ask,"13,789",91
2862,381 Park Avenue South - 16th Floor - B Suite,To ask,"13,067",87
2863,233 Park Avenue South - 12th Floor,To ask,"13,343",88
2864,609 Greenwich Street - 9th Floor,To ask,"16,457",109
2865,218 West 18th Street - 3rd Floor,To ask,"13,420",89
2866,460 Park Avenue South - Office Space,To ask,"15,500",103
2867,135 Madison Avenue - 2nd Floor,To ask,"15,038",100
2868,620 Avenue of the Americas - 3rd Floor - Suite 1,To ask,"13,852",92
2869,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,882",92
2870,200 Park Avenue South - 58th Floor,To ask,"13,764",91
2871,60 Madison Avenue - 8th Floor,To ask,"17,177",114
2872,475 Park Avenue South - 7th Floor,To ask,"16,947",112
2873,475 Park Avenue South - 16th Floor,To ask,"13,607",90
2874,1245 Broadway Street - 2nd Floor,To ask,"14,703",98
2875,635 Avenue of the Americas - 8th Floor,To ask,"13,090",87
2876,330 Hudson Street - 15th Floor,To ask,"17,175",114
2877,381 Park Avenue South - 9th Floor,To ask,"13,128",87
2878,233 Spring Street - 8th Floor,To ask,"13,000",86
2879,71 5th Avenue - 4th Floor,To ask,"15,211",101
2880,295 5th Avenue - Cellar,To ask,"16,669",111
2881,1245 Broadway Street - 5th Floor,To ask,"15,276",101
2882,44 West 18th Street - 2nd Floor - Suite 200,To ask,"16,625",110
