,name,lat,lon,type,geometry,category,distance(km)
146,Bucks Place New York,40.746148,-73.997634,"{'typepoint': {'type': 'Point', 'coordinates': [40.746148, -73.997634]}}",POINT (-73.997634 40.746148),petcare,1.9
147,Pampered Pets,40.768228,-73.963287,"{'typepoint': {'type': 'Point', 'coordinates': [40.768228, -73.963287]}}",POINT (-73.963287 40.768228),petcare,1.9
148,Trixie + Peanut,40.739142,-73.98941,"{'typepoint': {'type': 'Point', 'coordinates': [40.739142, -73.98941]}}",POINT (-73.98941 40.739142),petcare,2.0
149,Citipups,40.742925,-73.999123,"{'typepoint': {'type': 'Point', 'coordinates': [40.742925, -73.999123]}}",POINT (-73.999123 40.742925),petcare,2.2
150,Oliver and Company Pet Services,40.777406,-73.979201,"{'typepoint': {'type': 'Point', 'coordinates': [40.777406, -73.979201]}}",POINT (-73.979201 40.777406),petcare,2.4
151,Training Cats and Dogs,40.739921,-74.000445,"{'typepoint': {'type': 'Point', 'coordinates': [40.739921, -74.000445]}}",POINT (-74.000445 40.739921),petcare,2.5
152,Doggystyle NYC,40.732593,-73.994174,"{'typepoint': {'type': 'Point', 'coordinates': [40.732593, -73.994174]}}",POINT (-73.994174 40.732593),petcare,2.9
153,Stuyvesant Town Basketball Courts,40.732345,-73.979407,"{'typepoint': {'type': 'Point', 'coordinates': [40.732345, -73.979407]}}",POINT (-73.979407 40.732345),basketball,2.6
154,Riverside Park Basketball Courts,40.78276,-73.98483,"{'typepoint': {'type': 'Point', 'coordinates': [40.78276, -73.98483]}}",POINT (-73.98483 40.78276),basketball,3.0
155,West 4th Street Courts,40.731228,-74.000757,"{'typepoint': {'type': 'Point', 'coordinates': [40.731228, -74.000757]}}",POINT (-74.000757 40.731228),basketball,3.3
156,Rucker Park Basketball Courts,40.829736,-73.936358,"{'typepoint': {'type': 'Point', 'coordinates': [40.829736, -73.936358]}}",POINT (-73.936358 40.829736),basketball,9.0
157,Basketball Courts,40.725705,-74.011409,"{'typepoint': {'type': 'Point', 'coordinates': [40.725705, -74.011409]}}",POINT (-74.011409 40.725705),basketball,4.3
158,Jordan Terminal 23,40.749365,-73.990423,"{'typepoint': {'type': 'Point', 'coordinates': [40.749365, -73.990423]}}",POINT (-73.990423 40.749365),basketball,1.2
159,Basketball Gym At The Dylan,40.746532,-73.985464,"{'typepoint': {'type': 'Point', 'coordinates': [40.746532, -73.985464]}}",POINT (-73.985464 40.746532),basketball,1.1
160,UN Basketball Courts,40.748064,-73.968665,"{'typepoint': {'type': 'Point', 'coordinates': [40.748064, -73.968665]}}",POINT (-73.968665 40.748064),basketball,1.2
161,Robert Moses Basketball Courts,40.748117,-73.968711,"{'typepoint': {'type': 'Point', 'coordinates': [40.748117, -73.968711]}}",POINT (-73.968711 40.748117),basketball,1.2
162,ABC Hoops NYC Midtown West Arena,40.763658,-73.990679,"{'typepoint': {'type': 'Point', 'coordinates': [40.763658, -73.990679]}}",POINT (-73.990679 40.763658),basketball,1.3
163,Madison Club,40.750471,-73.993437,"{'typepoint': {'type': 'Point', 'coordinates': [40.750471, -73.993437]}}",POINT (-73.993437 40.750471),basketball,1.3
164,Basketball Court,40.768332,-73.989464,"{'typepoint': {'type': 'Point', 'coordinates': [40.768332, -73.989464]}}",POINT (-73.989464 40.768332),basketball,1.6
165,Harborview Basketball Courts,40.768133,-73.990644,"{'typepoint': {'type': 'Point', 'coordinates': [40.768133, -73.990644]}}",POINT (-73.990644 40.768133),basketball,1.7
166,Queensbridge Basketball Courts,40.755053,-73.949454,"{'typepoint': {'type': 'Point', 'coordinates': [40.755053, -73.949454]}}",POINT (-73.949454 40.755053),basketball,2.5
167,Playground 9- Basketball Court/Sprinklers,40.732173,-73.979793,"{'typepoint': {'type': 'Point', 'coordinates': [40.732173, -73.979793]}}",POINT (-73.979793 40.732173),basketball,2.6
168,Riverside South Basketball Courts,40.780844,-73.987814,"{'typepoint': {'type': 'Point', 'coordinates': [40.780844, -73.987814]}}",POINT (-73.987814 40.780844),basketball,2.9
169,LINC Basketball Court,40.74865,-73.942745,"{'typepoint': {'type': 'Point', 'coordinates': [40.74865, -73.942745]}}",POINT (-73.942745 40.74865),basketball,3.2
170,NY Urban Basketball,40.785851,-73.974286,"{'typepoint': {'type': 'Point', 'coordinates': [40.785851, -73.974286]}}",POINT (-73.974286 40.785851),basketball,3.4
171,Houston Street Park,40.728919,-74.002325,"{'typepoint': {'type': 'Point', 'coordinates': [40.728919, -74.002325]}}",POINT (-74.002325 40.728919),basketball,3.6
172,Basketball City - Trevor Day,40.78697,-73.968821,"{'typepoint': {'type': 'Point', 'coordinates': [40.78697, -73.968821]}}",POINT (-73.968821 40.78697),basketball,3.6
