,name,lat,lon,type,geometry,category,distance(km)
61,Hamilton Basketball Courts,37.784569,-122.435625,"{'typepoint': {'type': 'Point', 'coordinates': [37.784569, -122.435625]}}",POINT (-122.435625 37.784569),basketball,4.1
62,Dolores Park Basketball Courts,37.760956,-122.427849,"{'typepoint': {'type': 'Point', 'coordinates': [37.760956, -122.427849]}}",POINT (-122.427849 37.760956),basketball,4.6
63,Golden Gate Park Panhandle Basketball Courts,37.771955,-122.445915,"{'typepoint': {'type': 'Point', 'coordinates': [37.771955, -122.445915]}}",POINT (-122.445915 37.771955),basketball,5.3
64,Douglass Basketball Court,37.751913,-122.43885,"{'typepoint': {'type': 'Point', 'coordinates': [37.751913, -122.43885]}}",POINT (-122.43885 37.751913),basketball,6.0
65,Bernal Heights Recreation Center,37.738385,-122.416197,"{'typepoint': {'type': 'Point', 'coordinates': [37.738385, -122.416197]}}",POINT (-122.416197 37.738385),basketball,6.2
66,Al Kerr Court,37.763735,-122.45811,"{'typepoint': {'type': 'Point', 'coordinates': [37.763735, -122.45811]}}",POINT (-122.45811 37.763735),basketball,6.7
67,Bay City Basketball Headquarters,37.781086,-122.468411,"{'typepoint': {'type': 'Point', 'coordinates': [37.781086, -122.468411]}}",POINT (-122.468411 37.781086),basketball,7.0
68,Baker Beach half court,37.791371,-122.480608,"{'typepoint': {'type': 'Point', 'coordinates': [37.791371, -122.480608]}}",POINT (-122.480608 37.791371),basketball,8.0
69,Basketball Courts,37.711444,-122.418046,"{'typepoint': {'type': 'Point', 'coordinates': [37.711444, -122.418046]}}",POINT (-122.418046 37.711444),basketball,9.1
70,Panhandle Basketball Courts,37.768679,-122.453452,"{'typepoint': {'type': 'Point', 'coordinates': [37.768679, -122.453452]}}",POINT (-122.453452 37.768679),basketball,6.1
